WORD,NGHĨA
trip = itinerary = excursion,"chuyến đi, hành trình"
valid = effective = go into effect,có hiệu lực
vendor = store,cửa hàng (nhỏ lẻ)
venture = business,việc kinh doanh
waiter = server,người phục vụ
wear = put on,mặc
wholesome = healthy,tốt cho sức khỏe
work = piece,tác phẩm nghệ thuật
work from home = work remotely,làm việc từ xa
strive to = try to = attempt,"cố gẵng, nỗ lực làm gì"
ensure = assure = guarantee,"cam đoan, đảm bảo"
alert = warn = caution,cảnh báo
stationery = office supplies,"đồ dùng văn phòng, văn phòng phẩm"
cord = cables,"dây điện, dây cáp"
maintain = preserve = service = sustain = conserve,"bảo trì, duy trì"
lease = rent = hire,thuê
supplement = complement = accompany,bổ sung
attend = participate in = take part in = be present,"tham gia, có mặt"
suit = match = fit,phù hợp
demonstration = presentation = illustration,"buổi minh họa, thuyết trình"
pleased = thrilled = happy = glad = satisfied = thankful = grateful = delighted,"vui, hài lòng"
brief = summarize,(v) tóm tắt
oversea = abroad = in foreign country,ra nước ngoài
diverse = various = different,"đa dạng, khác nhau"
differ = vary,"thay đổi, khác nhau"
recognize = acknowledge,"công nhận, ghi nhận, thừa nhận, nhận ra"
generate = create = make = produce,tạo ra
discover = explore,khám phá
instruction = guide = guidance = direction = advice,hướng dẫn
communicate = convey,"truyền tải, trao đổi thông tin"
praise = compliment = applaud,"khen, khen ngợi"
direct = in person = physically,trực tiếp
notice = inform = announce = note,thông báo
recreation = entertainment = amusement = enjoyment,(n) giải trí
refreshment = food and drink = snack,đồ ăn nước uống nhẹ
recently = lately,(adv) gần đây
committee = panel = board = commission = council,"(n) hội đồng, ban, ủy ban"
show = display = present,trình ra
direct = instruct = guide,hướng dẫn
